"Word","Word_Chinese","traditional","pinyin","pos","radical_1","character_type_1","radical_2","character_type_2","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","perceptual_mean","Dominant.perceptual","Max_strength.perceptual","Minkowski3.perceptual","perceptual_SUM","Exclusivity.perceptual","action_mean","action_SUM","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Dominant.sensorimotor","Minkowski3.sensorimotor","sum_sensorimotor","Exclusivity.sensorimotor","concrete/abstract","concreteness","RT","RTSD","zRT","zRTSD","ERR","tstroke","wfreq","wfreq/mil","cd"
"neck","脖子","脖子","bózi","N","月(肉)","phono-semantic","子","pictograph",1.22727272727273,0.863636363636364,2.95454545454545,2.63636363636364,0.727272727272727,4.13636363636364,0.636363636363636,2.72727272727273,3.86363636363636,2.22727272727273,2.27272727272727,1.82396267144912,1.42412728649462,1.98751514465084,1.7605587464118,1.35160638754033,0.990211836184298,1.29266997760282,1.72328087371066,1.55212464354217,1.99837596400339,1.85631016963423,2.09090909090909,"visual",4.13636363636364,4.90158942837772,12.5454545454546,0.271739130434783,2.34545454545455,11.7272727272727,3.86363636363636,4.65711054588067,0.275193798449612,"head",4.13636363636364,"visual",6.02554018143906,24.2727272727273,0.144194756554307,"concrete",1.16,705.1,177.12,-0.429,0.475,0,21,317,9.45,190
"hair","头发","頭髮","tóufa","N","頁","phono-semantic","髟","phono-semantic",1,1.08695652173913,3.56521739130435,2.52173913043478,2.21739130434783,4.30434782608696,0.91304347826087,2.52173913043478,3.82608695652174,0.91304347826087,1.43478260869565,1.31425748134554,1.16435871847831,1.34252431691272,1.83078634912064,1.50624523353845,1.22232203049976,1.64905051133457,2.01966615642269,1.58550748724024,1.44326156762008,1.30822874551543,2.44927536231884,"visual",4.30434782608696,5.36344760505146,14.695652173913,0.224852071005917,1.92173913043478,9.60869565217391,3.82608695652174,4.24549900786801,0.30316742081448,"head",4.30434782608696,"visual",6.13410952974468,24.304347826087,0.13953488372093,"concrete",1.608696,691.81,293.99,-0.565,0.899,0,24,323,9.63,202
"action","动作","動作","dòngzuò","N","力","phono-semantic","亻","compound_ideograph",2.10526315789474,0.684210526315789,2.52631578947368,2.36842105263158,0.631578947368421,3.89473684210526,4.10526315789474,4.21052631578947,3.78947368421053,3.57894736842105,3.89473684210526,1.72867119301713,1.10818327700728,1.54086631666993,1.73879033033471,0.955133865881839,1.37010692373119,1.14962490704603,1.03166248617468,1.22832077643609,1.30451308386114,1.04853002087607,2.03508771929825,"visual",3.89473684210526,4.61656458134389,12.2105263157895,0.267241379310345,3.91578947368421,19.578947368421,4.21052631578947,6.71783981778152,0.032258064516129,"hand/arm",4.21052631578947,"hand/arm",7.37764866125637,31.7894736842105,0.112582781456954,"concrete",2.5,611.24,170.65,-0.737,0.593,0,13,382,11.39,345
"Pipa","琵琶","琵琶","pípa","N","王(玉)","phono-semantic","王(玉)","phono-semantic",5.21052631578947,1.73684210526316,3.36842105263158,4,1.73684210526316,4.73684210526316,2.47368421052632,4.63157894736842,3.63157894736842,2.84210526315789,3.36842105263158,1.08417646003371,0.933458638205125,1.7704527454797,1.69967317119759,1.04573765900535,1.14707866935281,1.3067525929499,0.895080773250814,1.34207659641441,1.42451387009108,1.30002249193318,3.46491228070175,"auditory",5.21052631578947,7.11671726047546,20.7894736842105,0.167088607594936,3.38947368421053,16.9473684210526,4.63157894736842,6.06921726956264,0.127329192546584,"hand/arm",5.21052631578947,"auditory",8.35871247570012,37.7368421052632,0.0920502092050208,"concrete",1.347826,785.947948717949,349.951077401726,-0.252434615684295,0.957837272105506,2.5,19,45,1.34,44
"speak; speech","讲话","講話","jiǎnghuà","Nv","言","phono-semantic","言","phono-semantic",4.625,1,0.9375,2.6875,0.9375,3.25,2.5,3,3.625,4.375,2.6875,0.806225774829855,1.54919333848297,1.18145390656315,1.66207701385947,1.52616076042685,1.80739222823013,1.78885438199983,1.67332005306815,1.31021626713557,1.08781125813871,1.88745860881769,2.23958333333333,"auditory",4.625,5.37536334753034,13.4375,0.274418604651163,3.2375,16.1875,4.375,5.78309473635611,0.115830115830116,"mouth/throat",4.625,"auditory",7.03876110922813,29.625,0.124472573839662,"concrete",1.826087,677.39,333.86,-0.558,0.935,0,19,422,12.58,337
"drama","话剧","話劇","huàjù","N","言","phono-semantic","刂","phono-semantic",4.38095238095238,0.80952380952381,1.71428571428571,3.52380952380952,0.80952380952381,4.52380952380952,3.71428571428571,3.47619047619048,3.61904761904762,3.76190476190476,3.28571428571429,1.32197543381829,1.47034171603228,1.8205179796656,1.5039630187956,1.40068010691405,0.813575295780767,1.27054543967767,1.36451631060415,1.32197543381829,1.26114082896249,1.52127765851133,2.62698412698413,"visual",4.52380952380952,6.09583579363238,15.7619047619048,0.235649546827794,3.57142857142857,17.8571428571429,3.76190476190476,6.1212278827858,0.0266666666666663,"mouth/throat",4.52380952380952,"visual",7.6963010930727,33.6190476190476,0.110481586402266,"concrete",1.961538,683.65,256.36,-0.498,0.789,0,20,59,1.76,49
"Chinese opera","戏曲","戲曲","xìqǔ","N","戈","phono-semantic","曰","pictograph",4.76190476190476,0.761904761904762,2.04761904761905,3,0.761904761904762,4.14285714285714,3.33333333333333,3.19047619047619,3.61904761904762,3.85714285714286,3.47619047619048,0.538958431120796,1.22085060121056,1.65759435557046,1.44913767461894,1.44584791402007,1.38873014965883,1.49443411809733,1.60059512741504,1.20317041503648,1.15263672879682,1.40068010691405,2.57936507936508,"auditory",4.76190476190476,5.99587093485215,15.4761904761905,0.258461538461538,3.4952380952381,17.4761904761905,3.85714285714286,6.00281914494786,0.0381471389645778,"mouth/throat",4.76190476190476,"auditory",7.55870363604467,32.952380952381,0.121387283236994,"concrete",1.615385,711.31,252.9,-0.422,0.8,5,22,41,1.22,38
"performance","表演","表演","biǎoyǎn","Nv","一","compound_ideograph","水","phono-semantic",4.27272727272727,1.31818181818182,2.18181818181818,3.77272727272727,1.04545454545455,4.59090909090909,3.63636363636364,3.63636363636364,3.36363636363636,3.36363636363636,3.45454545454545,1.16217440629595,1.83579134711161,1.86793401628042,1.37777661406645,1.49530289103269,0.666125321334464,1.52894157431288,1.61968411221961,1.55977576365977,1.70560573084488,1.59544807043493,2.86363636363636,"visual",4.59090909090909,6.23410033269789,17.1818181818182,0.206349206349206,3.49090909090909,17.4545454545454,3.63636363636364,5.97682856905449,0.0156250000000004,"leg/foot+hand/arm",4.59090909090909,"visual",7.69581633750231,34.6363636363636,0.102362204724409,"concrete",2.52,582.51,127.08,-0.82,0.484,4.76,17,73,2.18,52
"talk","交谈","交談","jiāotán","Nv","亠","pictograph","言","phono-semantic",4.66666666666667,0.619047619047619,1.57142857142857,3.66666666666667,0.857142857142857,3.9047619047619,1.52380952380952,3.33333333333333,3.33333333333333,4.23809523809524,2.0952380952381,0.658280588604384,0.920662287496912,1.71963451266333,1.15470053837925,1.35224680756563,1.22085060121056,1.24976188208185,1.01653004546513,1.11055541659718,1.09108945117996,1.51343192462568,2.54761904761905,"visual",4.66666666666667,5.99267543743981,15.2857142857143,0.264797507788162,2.9047619047619,14.5238095238095,4.23809523809524,5.46180519487781,0.18688524590164,"mouth/throat",4.66666666666667,"visual",7.23133685202708,29.8095238095238,0.135782747603834,"concrete",2.6,729.55,231.63,-0.416,0.792,0,12,12,0.36,9
"speech","演讲","演講","yǎnjiǎng","Nv","氵","phono-semantic","言","phono-semantic",4.80952380952381,0.523809523809524,1,3.71428571428571,0.619047619047619,4.52380952380952,2.76190476190476,3.80952380952381,3.33333333333333,4.19047619047619,2.95238095238095,0.511766315719159,0.813575295780767,1.14017542509914,1.18923745075814,0.864649667564296,0.87287156094397,1.57812426331902,0.980767435177556,1.52752523165195,1.12334534400814,1.32197543381829,2.53174603174603,"auditory",4.80952380952381,6.35335241766538,15.1904761904762,0.282131661442006,3.40952380952381,17.047619047619,4.19047619047619,5.96938578681922,0.0837988826815644,"mouth/throat",4.80952380952381,"auditory",7.77036822803511,32.2380952380952,0.132939438700148,"concrete",2.060606,700.46,340.88,-0.402,0.954,7.5,10,581,17.32,369
