"Word","Word_Chinese","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"all evil","万恶",2.04761904761905,0.666666666666667,1.57142857142857,3.71428571428571,0.80952380952381,3.33333333333333,0.80952380952381,2.0952380952381,3.9047619047619,3.28571428571429,2.19047619047619,0.589592272353571,0.483045891539648,0.50709255283711,0.643650304346789,0.402373908081478,0.730296743340222,0.511766315719159,0.700340053457026,0.624880941040924,1.18923745075814,0.601585207518238,21,21,3.71428571428571,4.66577566403565,0.250980392156863,"Interoceptive",3.9047619047619,4.8664346765517,0.251937984496124,"Head",3.9047619047619,6.00757600391334,0.132553606237817,"Head"
"everything","万物",1.75,0.3125,1.9375,3.125,0.625,3.9375,1.5,2.5,3.8125,0.8125,2.0625,0.683130051063973,0.478713553878169,0.680073525436772,0.885061203156784,0.61913918736689,0.25,0.966091783079296,1.09544511501033,0.403112887414928,0.75,0.853912563829966,16,16,3.9375,4.70976445236179,0.310160427807487,"Visual",3.8125,4.37474063088227,0.280701754385965,"Head",3.9375,5.73065232362131,0.162011173184358,"Visual"
"ancient times","上古",1.61904761904762,0.0952380952380952,0.761904761904762,2.19047619047619,0.571428571428571,4,0.19047619047619,0.761904761904762,3.33333333333333,1.66666666666667,0.714285714285714,0.589592272353571,0.300792603759119,0.538958431120797,0.601585207518238,0.50709255283711,0,0.402373908081478,0.700340053457026,0.730296743340222,0.966091783079296,0.717137165600636,21,21,4,4.29778295287184,0.422680412371134,"Visual",3.33333333333333,3.48922656469896,0.471428571428571,"Head",4,4.95783715829093,0.245508982035928,"Visual"
"album","专辑",4.68421052631579,0,3.10526315789474,1.78947368421053,0.789473684210526,4.31578947368421,0.263157894736842,4.05263157894737,2.78947368421053,1.36842105263158,0.368421052631579,0.477566932940919,0,0.458831467741123,0.713282503517759,0.418853908291696,0.477566932940919,0.452413928358864,0.229415733870562,0.535303379031311,0.495594627783352,0.495594627783352,19,19,4.68421052631579,6.03069029817552,0.318996415770609,"Auditory",4.05263157894737,4.49622329045572,0.428571428571429,"Hand_arm",4.68421052631579,6.76955312706612,0.19910514541387,"Auditory"
"doctrine of the mean","中庸",1.4,1.65,1.6,4,0.15,2.95,1.45,1.9,4.2,2.75,2.75,0.502624689950035,0.489360484929593,0.598243041616119,0.324442842261525,0.366347548532523,0.394034462826206,0.68633274115326,0.447213595499958,0.410391340834062,0.850696309223401,0.550119604220181,20,20,4,4.65713054079643,0.327659574468085,"Interoceptive",4.2,5.00784601490336,0.210727969348659,"Head",4.2,6.09656036488177,0.163306451612903,"Head"
"idea","主意",1.47058823529412,0,0.352941176470588,3.29411764705882,0,3.41176470588235,0.0588235294117647,2.23529411764706,4.94117647058824,3.52941176470588,1,0.514495755427527,0,0.492592183071889,0.587867532097256,0,0.712287119900725,0.242535625036333,0.664211164155071,0.242535625036333,0.514495755427527,0.353553390593274,17,17,3.41176470588235,4.28509136857848,0.4,"Visual",4.94117647058824,5.6122802919846,0.415,"Head",4.94117647058824,6.34510957005968,0.243478260869565,"Head"
"theme","主题",2.26086956521739,0.173913043478261,2.69565217391304,2.39130434782609,1.30434782608696,4.91304347826087,1.17391304347826,4.04347826086957,3.26086956521739,2.60869565217391,1.91304347826087,1.21421097853514,0.38755338788159,1.39592858011809,1.11759199071374,1.14553610350214,0.28810406552003,0.834057656228299,1.0215078369105,0.619192384874173,2.18962700092095,0.596432079365658,23,23,4.91304347826087,5.49182539441387,0.34493670886076,"Visual",4.04347826086957,5.02857423435191,0.220735785953177,"Hand_arm",4.91304347826087,6.64026196229654,0.177235772357724,"Visual"
"universally","举世",1.47058823529412,0,0.176470588235294,2,0,3.76470588235294,0.823529411764706,1.35294117647059,3.52941176470588,2.52941176470588,1.58823529411765,0.514495755427527,0,0.392952623996688,0.935414346693485,0,0.437237316097603,1.01459931239178,0.996316746232607,0.717430053979439,1.2307338795828,0.870260272089029,17,17,3.76470588235294,4.01128167299783,0.507936507936508,"Visual",3.52941176470588,4.0653695063958,0.275449101796407,"Head",3.76470588235294,5.08819958844923,0.218430034129693,"Visual"
"loyalty","义气",2.27777777777778,0.277777777777778,1.61111111111111,4.11111111111111,0.111111111111111,3.05555555555556,2.55555555555556,4.44444444444444,3.16666666666667,4,3.22222222222222,0.669113158068688,0.460888598962477,0.50163132570455,0.323380833381777,0.323380833381777,0.416176181897865,1.24721912892465,0.704792186494566,1.04318516770401,0.840168050416806,0.548318880553316,18,18,4.11111111111111,4.84927916089263,0.349514563106796,"Interoceptive",4.44444444444444,6.15953116593716,0.108626198083067,"Hand_arm",4.44444444444444,7.03199499464441,0.15028901734104,"Hand_arm"
"musical instrument","乐器",5,0,3.8,2.24,1,4.6,0.92,5,3.64,3.24,1.96,0,0,0.408248290463863,0.522812904711937,0,0.5,0.276887462097269,0,0.568624070307733,0.522812904711937,0.351188458428425,25,25,5,6.61489918408329,0.300480769230769,"Auditory",5,5.99582109012776,0.276422764227642,"Hand_arm",5,7.96335540297683,0.159235668789809,"Hand_arm"
