"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"abortion",1.61538461538462,0,1.15384615384615,3.69230769230769,0.076923076923077,2.84615384615385,0.137931034482759,1.31034482758621,4.3448275862069,2.06896551724138,3.96551724137931,0.506369683541833,0,0.375533808099405,0.480384461415261,0.277350098112615,0.554700196225229,0.350931203171798,0.92980214008381,0.552647011402236,1.25159996127125,1.17967182545128,21,21,3.69230769230769,4.29346760057863,0.39344262295082,"Interoceptive",4.3448275862069,5.37731218342432,0.355685131195335,"Head",4.3448275862069,6.16778989728632,0.20482681005377,"Head"
"about",1.73333333333333,0,0.133333333333333,2.66666666666667,0,1.93333333333333,0.148148148148148,1.33333333333333,4.22222222222222,3.2962962962963,0.518518518518518,0.961150104723255,0,0.351865775274498,0.617213399848368,0,0.961150104723255,0.362013992898246,0.480384461415261,0.751067616198811,0.823445613299796,0.579812328415269,21,21,2.66666666666667,3.15481442034557,0.412371134020619,"Interoceptive",4.22222222222222,4.84312130043121,0.428015564202335,"Head",4.22222222222222,5.25357347527123,0.264133456904541,"Head"
"abundance",2.0625,1.8125,2.4375,3.5625,1.1875,4.8125,1.03571428571429,4.14285714285714,3.10714285714286,3.5,2.64285714285714,0.57373048260195,0.834166250416147,0.813941029804985,0.51234753829798,0.543905629069357,0.403112887414928,0.428791830452067,0.803431792688493,1.10014429068075,0.962250448649376,1.02611405453295,22,22,4.8125,5.72414251918472,0.228346456692913,"Visual",4.14285714285714,5.46866949961827,0.215346534653465,"Hand_arm",4.8125,7.05470118901099,0.124631703005303,"Visual"
"abuse",4.06666666666667,0.333333333333333,3,4.53333333333333,0.8,4.26666666666667,1.35483870967742,3.48387096774194,4.2258064516129,4.67741935483871,2.61290322580645,0.258198889747161,0.487950036474267,0,0.516397779494322,0.414039335605413,0.457737708217063,0.550659428732145,0.961629441518769,0.762000762001143,0.475190963311491,0.71542152399075,23,23,4.53333333333333,6.4283249758546,0.247058823529412,"Interoceptive",4.67741935483871,6.21797363003161,0.203155818540434,"Mouth",4.67741935483871,7.96887244555212,0.130238555770471,"Mouth"
"abyss",1.60869565217391,0,1.8695652173913,3.95652173913043,0.434782608695652,5,3.1,1.65,4.1,0.55,3,0.722315118514615,0,0.548083257285785,0.208514414057075,0.506869801869702,0,1.0711528467276,0.745159820370594,0.640723275517187,0.51041778553404,0.917662935482247,21.5,21.5,5,5.82568498006272,0.388513513513513,"Visual",4.1,5.07060496161231,0.286290322580645,"Head",5,6.89703803577368,0.197866483138334,"Visual"
"accent",5,0,0.0625,0.9375,0,1.8125,0,0.678571428571429,2.46428571428571,5,0.357142857142857,0,0,0.25,0.25,0,0.403112887414928,0,0.611832186419303,1.03573709152049,0,0.487950036474267,22,22,5,5.08879462753277,0.64,"Auditory",5,5.19648290643129,0.588235294117647,"Mouth",5,6.48002904421092,0.306513409961686,"Auditory"
"acceptance",2.46666666666667,0.266666666666667,1.8,4,0.0666666666666667,2.93333333333333,1,4,4.29032258064516,3.12903225806452,2.90322580645161,0.639940473422184,0.457737708217063,0.774596669241483,0,0.258198889747161,0.258198889747161,0,1.23827837473378,0.528743692608355,0.991360529234814,0.70023037683691,23,23,4,4.79286061405068,0.341040462427746,"Interoceptive",4.29032258064516,5.83903262421442,0.214736842105263,"Head",4.29032258064516,6.76190492324515,0.157270980140935,"Head"
"accident",4.13333333333333,0.266666666666667,3.06666666666667,3.93333333333333,1.93333333333333,4.86666666666667,3.31578947368421,3.63157894736842,3.52631578947368,1.42105263157895,3.05263157894737,0.351865775274498,0.457737708217063,0.593616839704664,0.457737708217063,0.258198889747161,0.351865775274498,1.29325736799874,0.68398556805677,0.772328445721233,0.606976978666884,0.524265010438033,17,17,4.86666666666667,6.56401185626022,0.252747252747253,"Visual",3.63157894736842,5.42334531186379,0.147887323943662,"Hand_arm",4.86666666666667,7.61932843544036,0.138774214036202,"Visual"
"accompaniment",2.75,0,1.125,2.5,0.125,3.6875,1.32142857142857,3.96428571428571,3.10714285714286,3.10714285714286,2.39285714285714,0.577350269189626,0,0.341565025531987,0.816496580927726,0.341565025531987,0.478713553878169,0.722832465019919,0.838081709847526,0.994029797388005,1.10014429068075,1.03061598676195,22,22,3.6875,4.44777507210923,0.361963190184049,"Visual",3.96428571428571,5.1714431112151,0.190231362467866,"Hand_arm",3.96428571428571,6.09383213614341,0.164627363737486,"Hand_arm"
"ace",1.1,0,2.1,1.3,0,4,0.266666666666667,3.4,0.633333333333333,0.0333333333333333,0.433333333333333,0.316227766016838,0,0.316227766016838,0.823272602348565,0,0,0.784915252764901,2.1270020994429,0.927857499958848,0.182574185835055,0.971430986184578,20,20,4,4.25043132877236,0.470588235294118,"Visual",3.4,3.41018879675844,0.706293706293706,"Hand_arm",4,4.88326104772238,0.301507537688442,"Visual"
