"Word","Word_Italian","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"blunder","abbaglio",0.722222222222222,0,0.666666666666667,3.27777777777778,0,2.88888888888889,0.111111111111111,0.944444444444444,4.66666666666667,2.27777777777778,1.55555555555556,0.460888598962477,0,0.594088525786005,0.669113158068688,0,0.758395278659361,0.323380833381777,0.725357698552703,0.485071250072666,0.9582800496696,0.783823376129674,18,18,3.27777777777778,3.91483780655923,0.433823529411765,"Interoceptive",4.66666666666667,4.90563301399197,0.476744186046512,"Head",4.66666666666667,5.62579343806537,0.272727272727273,"Head"
"abundance","abbondanza",0.894736842105263,2.15789473684211,2,3.36842105263158,0.736842105263158,4.57894736842105,0.842105263157895,3.36842105263158,2.42105263157895,3.42105263157895,3.10526315789474,0.458831467741123,0.764719112901873,0.666666666666667,0.495594627783352,0.733492805626908,0.507257273501788,0.374634324632678,1.25656172487509,0.837707816583391,0.96123701977563,0.994134846772434,19,19,4.57894736842105,5.35301334971932,0.279693486590038,"Visual",3.42105263157895,4.97303852878195,0.196,"Mouth",4.57894736842105,6.51380139241234,0.142857142857143,"Visual"
"hug","abbraccio",1.6,0,5,4.15,1.75,3.95,0,4.7,2.5,0.75,5,0.502624689950035,0,0,0.366347548532523,0.444261658319319,0.223606797749979,0,0.470162345981627,0.945905302926917,0.444261658319319,0,20,20,5,6.44376438000318,0.303951367781155,"Haptic",5,6.25621674761094,0.386100386100386,"Torso",5,8.00223114852252,0.170068027210884,"Torso"
"fir","abete",2.18181818181818,0,3.5,1.04545454545455,3.86363636363636,5,1.63636363636364,2.72727272727273,2.95454545454545,0.136363636363636,0.818181818181818,0.394771016975861,0,0.511766315719159,0.375090176747726,0.351250086657104,0,0.726731400270092,1.16217440629595,0.898531750891034,0.351250086657105,0.664498639244989,22,22,5,6.18915013581341,0.32069970845481,"Visual",2.95454545454545,3.70863917756523,0.340659340659341,"Head",5,6.60452415618204,0.20952380952381,"Visual"
"inhabitant","abitante",2,0,1.66666666666667,2.20833333333333,0.875,4.04166666666667,2.20833333333333,1.95833333333333,4,1.5,2.70833333333333,0.294883912309794,0,0.481543412343077,0.883627241233132,0.337831962346088,0.204124145231932,1.14128709441755,0.750603621828092,0.510753918455249,1.10335456873474,1.16017864691332,24,24,4.04166666666667,4.48289665865441,0.374517374517374,"Visual",4,4.72547829868929,0.202020202020202,"Head",4.04166666666667,5.80493567585787,0.174460431654676,"Visual"
"dwelling","abitazione",2.75,0.208333333333333,3.79166666666667,2.66666666666667,2.04166666666667,5,3.875,4.45833333333333,3.04166666666667,0.875,3,0.442325868464691,0.414851116999053,0.414851116999053,1.09014026487487,0.464305621487536,0,0.850191794218529,0.508977377704052,0.999093792292346,0.337831962346088,0.978019293843651,24,24,5,6.10724893227239,0.291139240506329,"Visual",4.45833333333333,5.87339627268963,0.234972677595628,"Hand_arm",5,7.55020797667475,0.151116951379763,"Visual"
"dress","abito",1.27777777777778,0,4,1.5,1.61111111111111,5,0.833333333333333,4.11111111111111,2.5,0.555555555555556,4,0.460888598962477,0,0,0.618346942400842,0.50163132570455,0,0.707106781186548,0.83235236379573,0.618346942400842,0.511309992564914,0.76696498884737,18,18,5,5.83478086189975,0.37344398340249,"Visual",4.11111111111111,5.31161596920885,0.296296296296296,"Hand_arm",5,7.0372248248509,0.196936542669584,"Visual"
"habits","abitudini",1.11111111111111,0.111111111111111,1.11111111111111,3.85185185185185,0.111111111111111,2.48148148148148,2.77777777777778,4,4.59259259259259,2.66666666666667,1.96296296296296,0.320256307610174,0.320256307610174,0.320256307610174,0.362013992898246,0.320256307610174,0.509175077217316,0.933699561847852,0.784464540552736,0.50071174413254,1.03774904332554,0.897924165098482,27,27,3.85185185185185,4.22045170457381,0.426160337552743,"Interoceptive",4.59259259259259,5.9328314559763,0.164351851851852,"Head",4.59259259259259,6.57315608960094,0.180866965620329,"Head"
"abortion","aborto",1.66666666666667,0,1.03703703703704,3.81481481481481,0.111111111111111,2.96296296296296,0.148148148148148,1,4.18518518518519,2,3.96296296296296,0.480384461415261,0,0.436901809201096,0.39584739066357,0.320256307610174,0.517500017204123,0.362013992898246,0.832050294337844,0.557262335477027,1.07417231105915,0.939782359480579,27,27,3.81481481481481,4.43570900796301,0.397683397683398,"Interoceptive",4.18518518518519,5.24813110851531,0.357377049180328,"Head",4.18518518518519,6.14307504860939,0.200354609929078,"Head"
"abuse","abuso",2.57142857142857,0.380952380952381,2.47619047619048,4.38095238095238,0.619047619047619,3.80952380952381,1.0952380952381,3.04761904761905,4.66666666666667,3.85714285714286,3,0.597614304667197,0.497613351528119,0.601585207518238,0.497613351528119,0.497613351528119,0.511766315719159,0.436435780471985,1.11696868694653,0.577350269189626,0.853563956930838,0.948683298050514,21,21,4.38095238095238,5.55964122306626,0.280936454849498,"Interoceptive",4.66666666666667,5.9966137254774,0.227963525835866,"Head",4.66666666666667,7.29037847707436,0.143312101910828,"Head"
