"Word","Word_Spanish","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"abyss","abismo",1.92857142857143,0,2.23809523809524,4.02380952380952,0.642857142857143,5,4.33333333333333,1.88095238095238,4.07142857142857,1.57142857142857,3.64285714285714,0.512899797319703,0,0.905525687761691,0.154303349962092,0.484965604585173,0,0.845841092919672,0.550050150812475,0.745485834151032,0.991250925453562,0.850292017885292,42,42,5,5.93257122505147,0.36144578313253,"Visual",4.33333333333333,5.92250310511535,0.178187403993856,"Foot_leg",5,7.46823423480837,0.170454545454545,"Visual"
"art","arte",2.02380952380952,0.19047619047619,3.28571428571429,3.52380952380952,1.14285714285714,5,1.35714285714286,4.5952380952381,4.52380952380952,2.5952380952381,2.33333333333333,0.348382691044317,0.397436617931638,0.55373297631551,0.594203514372349,0.354168801660573,0,0.617683657745043,0.496795772414547,0.505486736604131,0.700505873289694,0.845841092919671,42,42,5,5.98158260126858,0.317111459968603,"Visual",4.5952380952381,6.05773949134448,0.210200927357032,"Hand_arm",5,7.58460113307211,0.157320872274143,"Visual"
"bright","brillante",1.38095238095238,0,2.73809523809524,1.21428571428571,0,5,0.214285714285714,3.85714285714286,4.23809523809524,1.5,1.07142857142857,0.622833061154724,0,0.445000619869331,0.470376822771591,0,0,0.415299732236633,0.646620806113564,0.726150015056817,0.740797197487192,0.712017303943508,42,42,5,5.31272511350103,0.483870967741936,"Visual",4.23809523809524,5.16917134535709,0.36980306345733,"Head",5,6.60441928241218,0.235690235690236,"Visual"
"song","cancion",5,0,1.11904761904762,3.4047619047619,0.0714285714285714,2.66666666666667,1.73809523809524,3.02380952380952,4.21428571428571,5,2.69047619047619,0,0,0.327770067561568,0.496795772414547,0.260661180215007,0.754390940465824,0.664776647234602,0.74859527761213,0.470376822771591,0,0.680318979636337,42,42,5,5.69631493316627,0.407766990291262,"Auditory",5,6.31820331529761,0.195714285714286,"Mouth",5,7.58889644842559,0.17283950617284,"Auditory"
"sponge","esponja",1.69047619047619,0.0952380952380952,5,1.02380952380952,2.78571428571429,5,0.476190476190476,5,0.595238095238095,0,0.714285714285714,0.517408893269061,0.297101757186175,0,0.715272257156884,0.415299732236633,0,0.890001239738661,0,0.664776647234602,0,0.80503641140844,42,42,5,6.52278088001148,0.314503816793893,"Visual",5,5.00909423611737,0.736842105263158,"Hand_arm",5,7.38769514158034,0.223404255319149,"Haptic"
"flower","flor",1.21428571428571,0.285714285714286,3.5,1.85714285714286,4.5952380952381,5,0.714285714285714,4.52380952380952,3.66666666666667,1.80952380952381,1.5,0.415299732236633,0.507779205220493,0.506060827347474,0.718108238713852,0.496795772414547,0,0.774146714704972,0.505486736604131,0.650203220264462,0.862161074818085,0.862497790735947,42,42,5,6.48816822295364,0.286541244573082,"Visual",4.52380952380952,5.33141289148312,0.311890838206628,"Hand_arm",5,7.51651433865609,0.164451827242525,"Visual"
"freshness","frescura",1.19047619047619,3.26190476190476,4.78571428571429,3.38095238095238,3.26190476190476,4.04761904761905,1.76190476190476,3.30952380952381,3.28571428571429,4.80952380952381,3.5,0.397436617931637,0.627014754932929,0.415299732236633,0.49150743499232,0.798154084076496,0.439088909957712,0.655540135123136,0.811144786874044,0.99475978925946,0.633922948233718,0.993883734673619,42,42,4.78571428571429,6.58598439048823,0.180406212664277,"Haptic",4.80952380952381,6.138601694354,0.182857142857143,"Mouth",4.80952380952381,8.02588366508915,0.0988939492517892,"Mouth"
"fire","fuego",3.35714285714286,0.380952380952381,3.80952380952381,2.95238095238095,3.9047619047619,5,1.73809523809524,4.69047619047619,3.5952380952381,2.19047619047619,2.69047619047619,0.484965604585173,0.49150743499232,0.551631515313957,0.379497803739328,0.297101757186175,0,0.798154084076496,0.467901138093333,1.03734002726777,1.21450773402422,1.11504337087464,42,42,5,6.71988153490843,0.238036809815951,"Visual",4.69047619047619,5.6969999567406,0.198083067092652,"Hand_arm",5,7.87487149258352,0.134628730048577,"Visual"
"war","guerra",4.97619047619048,1.28571428571429,3.26190476190476,4.23809523809524,3.4047619047619,5,2.64285714285714,4.0952380952381,4.57142857142857,2.71428571428571,2.92857142857143,0.154303349962092,0.457229956859213,0.543678698583865,0.431080537409042,0.543678698583864,0,0.87850839693444,0.820752890815286,0.590281336100955,1.23536731549009,1.11295820145599,42,42,5,7.37203099298946,0.167561761546724,"Visual",4.57142857142857,6.1072231804745,0.11376404494382,"Head",5,8.56551393596187,0.0949482653682289,"Visual"
"mask","mascara",1,0,4,2.35714285714286,2.54761904761905,5,0,4.78571428571429,4.5952380952381,0.952380952380952,0.285714285714286,0.312347523777212,0,0,0.617683657745044,0.592735738937433,0,0,0.415299732236633,0.496795772414547,1.26784589646744,0.457229956859213,42,42,5,6.03343872417509,0.335463258785942,"Visual",4.78571428571429,5.92051363259065,0.45067264573991,"Hand_arm",5,7.53119006270783,0.19589552238806,"Visual"
"miracle","milagro",2.16666666666667,0,1.64285714285714,4.33333333333333,0.785714285714286,3.95238095238095,0.738095238095238,1.95238095238095,4.33333333333333,3.47619047619048,2.73809523809524,0.621432910126763,0,0.617683657745044,0.754390940465824,0.415299732236633,0.538850671761303,0.445000619869331,1.10326303062791,0.525759226478853,0.993591544829094,0.989198340355531,42,42,4.33333333333333,5.40842479500893,0.33641404805915,"Interoceptive",4.33333333333333,5.33385746843126,0.27158273381295,"Head",4.33333333333333,6.76753983041162,0.165907019143118,"Interoceptive"
"engine","motor",3.95238095238095,0,3.5,2.47619047619048,1.71428571428571,4.95238095238095,4.11904761904762,4.9047619047619,3,0.80952380952381,3.19047619047619,0.215540268704521,0,0.506060827347474,0.740405137551032,0.55373297631551,0.215540268704521,1.25333469246473,0.297101757186175,0.855398922768302,0.505486736604131,1.13132978604169,42,42,4.95238095238095,6.26836900989239,0.298421807747489,"Visual",4.9047619047619,6.2817915247815,0.2555720653789,"Hand_arm",4.95238095238095,7.90611476198957,0.151824817518248,"Visual"
"death","muerte",2.42857142857143,0.547619047619048,2.35714285714286,4.30952380952381,2.33333333333333,4.52380952380952,1.23809523809524,2.0952380952381,4.71428571428571,2.35714285714286,3.80952380952381,0.703401392637065,0.503760538950749,0.82110658740176,0.643469833207858,0.686691135407437,0.505486736604131,0.691746598518661,0.691746598518661,0.457229956859213,1.16496474502143,0.862161074818084,42,42,4.52380952380952,5.97119217110704,0.240981240981241,"Visual",4.71428571428571,5.69031668054972,0.244556113902848,"Head",4.71428571428571,7.35054950133408,0.135658914728682,"Head"
"ocean","oceano",4.21428571428571,1.80952380952381,3.92857142857143,3,3.73809523809524,5,4.42857142857143,3.16666666666667,4.21428571428571,1.80952380952381,2.78571428571429,0.415299732236633,0.454682694939907,0.341650023673288,0.312347523777212,0.445000619869331,0,0.703401392637066,0.729739902433225,0.68202404240986,0.772644973786047,1.17982458980891,42,42,5,7.01789747060111,0.147091108671789,"Visual",4.42857142857143,6.0459272257551,0.159651669085631,"Foot_leg",5,8.27500033385257,0.08375,"Visual"
"gold","oro",1.14285714285714,0,3.07142857142857,1.0952380952381,0,5,0.0714285714285714,4.26190476190476,2.64285714285714,1.95238095238095,0.833333333333333,0.354168801660573,0,0.260661180215007,0.617213399848368,0,0,0.260661180215007,0.44500061986933,0.692166220394388,0.854040067386484,0.580860029597269,42,42,5,5.39218525084193,0.484988452655889,"Visual",4.26190476190476,4.70105918601563,0.429268292682927,"Hand_arm",5,6.38801927471156,0.249110320284698,"Visual"
"stone","piedra",2.5,0,4.23809523809524,1.16666666666667,0.714285714285714,5,2.97619047619048,4.71428571428571,1.57142857142857,0,0.857142857142857,0.552157630374233,0,0.431080537409043,0.489731965848651,0.457229956859213,0,0.51740889326906,0.457229956859213,0.547404391601174,0,0.646620806113564,42,42,5,6.02489412140159,0.367132867132867,"Visual",4.71428571428571,5.13808512998436,0.465882352941176,"Hand_arm",5,7.07633971430974,0.210631895687061,"Visual"
"power","poder",2.88095238095238,0.880952380952381,3.35714285714286,4.57142857142857,1,4.14285714285714,2.88095238095238,4.88095238095238,3.92857142857143,3.42857142857143,3.02380952380952,0.395238794900239,0.632547345278267,0.617683657745044,0.500870322677809,0.441726104299386,0.566177967859223,0.992714459286818,0.327770067561568,0.894232390346185,0.991250925453562,1.092950699312,42,42,4.57142857142857,6.12754824362845,0.219236209335219,"Interoceptive",4.88095238095238,6.45353349129008,0.110236220472441,"Hand_arm",4.88095238095238,7.93090226113576,0.114363512593601,"Hand_arm"
"treasure","tesoro",1.07142857142857,0,3.28571428571429,2.88095238095238,0.833333333333333,4.88095238095238,0.571428571428571,4.52380952380952,3.80952380952381,1.52380952380952,2.28571428571429,0.558432350330343,0,0.507779205220493,0.861150137114737,0.437100572602125,0.327770067561568,0.50087032267781,0.551631515313957,0.706696030770716,0.862161074818085,0.969931209170345,42,42,4.88095238095238,5.61968906691155,0.376838235294118,"Visual",4.52380952380952,5.46848377333707,0.310861423220974,"Hand_arm",4.88095238095238,6.98640987644436,0.190166975881262,"Visual"
"emptiness","vacio",1.26190476190476,0.0952380952380952,2.80952380952381,4.30952380952381,0.0476190476190476,4.54761904761905,1.14285714285714,1.64285714285714,4.33333333333333,2.42857142857143,4.16666666666667,0.496795772414547,0.297101757186175,0.706696030770716,0.643469833207858,0.215540268704521,0.592735738937433,1.09480878320235,0.617683657745044,0.686691135407437,1.01555841044099,0.659514480200015,42,42,4.54761904761905,5.8311466520261,0.344262295081967,"Visual",4.33333333333333,5.58232841086675,0.232638888888889,"Head",4.54761904761905,7.19345423656364,0.168,"Visual"
"journey","viaje",3.14285714285714,1.5,2.92857142857143,3.97619047619048,2.28571428571429,4.97619047619048,5,3.35714285714286,4.07142857142857,1.73809523809524,3,0.354168801660573,0.506060827347474,0.558432350330343,0.348382691044317,0.507779205220493,0.154303349962092,0,0.655982918108524,0.512899797319703,0.445000619869331,0.584348709790778,42,42,4.97619047619048,6.3625095984757,0.184810126582278,"Visual",5,6.40352404367145,0.19001386962552,"Foot_leg",5,8.04218026396538,0.0972865651886168,"Foot_leg"
