"Word","Word_Chinese","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","N_perceptual","N_action","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"all evil","万恶",0.304347826086957,0,0.391304347826087,1.47826086956522,0,1,0.739130434782609,2.08695652173913,1.30434782608696,1.26086956521739,2.17391304347826,0.470471968896965,0,0.583027399541909,0.845822096993715,0,0.603022689155527,0.619192384874173,0.949308048396825,0.702901946394417,1.21421097853514,1.07247267026181,23,23,1.47826086956522,1.62846008919608,0.465753424657534,"Interoceptive",2.17391304347826,2.88412372201502,0.189655172413793,"Torso",2.17391304347826,3.04772256103274,0.202429149797571,"Torso"
"everything","万物",0.75,0,1.05,1.35,0,2.45,1.5,2.85,2.1,0.65,2.5,0.716350399411379,0,0.68633274115326,0.812727700887249,0,1.23437604097225,0.512989176042577,0.745159820370595,0.788068925652412,0.745159820370595,0.688247201611685,20,20,2.45,2.65645749244187,0.4375,"Visual",2.85,3.72495307960057,0.229166666666667,"Hand_arm",2.85,4.12972156017879,0.1875,"Hand_arm"
"ancient times","上古",1,0,0.470588235294118,0.823529411764706,0,2.35294117647059,0.823529411764706,1.52941176470588,1.94117647058824,0.235294117647059,2.05882352941176,0.612372435695794,0,0.514495755427526,0.528594139870924,0,0.931475742477242,0.63593377383646,0.874474632195206,0.658652814016432,0.437237316097603,0.747545001596402,17,17,2.35294117647059,2.4490706168871,0.506329113924051,"Visual",2.05882352941176,2.72300934592916,0.276785714285714,"Torso",2.35294117647059,3.26732087171238,0.209424083769634,"Visual"
"album","专辑",1.53333333333333,0,0.533333333333333,0.233333333333333,0,2.7,0.666666666666667,1.8,1.1,0.333333333333333,1.03333333333333,0.899552890217607,0,0.507416263404925,0.430183067152076,0,1.14921262400498,0.71115900221876,1.06350104972145,0.758855762952036,0.479463301485384,0.764890496257058,30,30,2.7,2.8623937302478,0.54,"Visual",1.8,2.04877608511093,0.297297297297297,"Hand_arm",2.7,3.17652575183156,0.271812080536913,"Visual"
"doctrine of the mean","中庸",0.444444444444444,0,1.55555555555556,2.55555555555556,0,1.77777777777778,1.55555555555556,2.55555555555556,2.33333333333333,1.22222222222222,3.11111111111111,0.52704627669473,0,0.726483157256779,0.52704627669473,0,0.666666666666667,0.726483157256779,0.726483157256779,0.866025403784439,0.666666666666667,1.05409255338946,9,9,2.55555555555556,2.96857923963385,0.403508771929825,"Interoceptive",3.11111111111111,4.02270467121723,0.175257731958763,"Torso",3.11111111111111,4.50216382807986,0.181818181818182,"Torso"
"idea","主意",0.411764705882353,0,0.176470588235294,0.705882352941176,0,1.52941176470588,0.647058823529412,2.70588235294118,2.23529411764706,0.823529411764706,2.05882352941176,0.507299656195892,0,0.392952623996688,0.77174363314129,0,0.717430053979439,0.701888209634219,0.77174363314129,0.752446988556825,0.63593377383646,0.899346167730627,17,17,1.52941176470588,1.58799318507516,0.541666666666667,"Visual",2.70588235294118,3.43518658205802,0.243055555555556,"Hand_arm",2.70588235294118,3.54476967583474,0.239583333333333,"Hand_arm"
"theme","主题",0.947368421052632,0.0526315789473684,1.47368421052632,1.42105263157895,0.105263157894737,3.05263157894737,1.26315789473684,3.52631578947368,2.52631578947368,1.10526315789474,2.21052631578947,0.848114523878724,0.229415733870562,0.696692268479466,0.692482608982125,0.315301767642306,0.848114523878724,0.65337629647495,0.696692268479466,0.611775290321498,0.7374684055082,0.787326514818136,19,19,3.05263157894737,3.28248565665131,0.425373134328358,"Visual",3.52631578947368,4.20098717689726,0.227722772277228,"Hand_arm",3.52631578947368,4.7842669420385,0.196428571428571,"Hand_arm"
"universally","举世",0.380952380952381,0,0.619047619047619,0.666666666666667,0,2.19047619047619,1.0952380952381,2.85714285714286,1.57142857142857,0.476190476190476,2.23809523809524,0.589592272353571,0,0.669043382464133,0.658280588604383,0,1.12334534400814,0.768424485864545,0.792824967172092,0.810643483377778,0.511766315719159,0.700340053457026,21,21,2.19047619047619,2.23064051288323,0.567901234567901,"Visual",2.85714285714286,3.41528946679598,0.289017341040462,"Hand_arm",2.85714285714286,3.70687186714652,0.236220472440945,"Hand_arm"
"loyalty","义气",0.75,0,1.5,2.45833333333333,0,1.70833333333333,1,3.16666666666667,2.20833333333333,1.04166666666667,2.875,0.442325868464691,0,0.659380473395787,0.658005330140078,0,0.69025305168635,0.884651736929383,0.868114732282431,0.931532942621143,0.550032937090187,0.612372435695794,24,24,2.45833333333333,2.86997066992574,0.383116883116883,"Interoceptive",3.16666666666667,4.09000223352526,0.210526315789474,"Hand_arm",3.16666666666667,4.51529314188303,0.189526184538653,"Hand_arm"
"musical instrument","乐器",3.85714285714286,0,1.78571428571429,0.785714285714286,0,3.35714285714286,0.785714285714286,3.21428571428571,1.57142857142857,0.714285714285714,1.21428571428571,0.363136519601282,0,0.578934223521839,0.42581531362632,0,0.841897386141095,0.699293206753068,0.892582375303981,1.15786844704368,0.825420305855557,0.699293206753068,14,14,3.85714285714286,4.66315709797278,0.394160583941606,"Auditory",3.21428571428571,3.41221750443894,0.333333333333333,"Hand_arm",3.85714285714286,5.20642373791273,0.223140495867769,"Auditory"
"music","乐曲",4.17647058823529,0,0.705882352941177,1.29411764705882,0,2.70588235294118,0.764705882352941,1.94117647058824,1.23529411764706,0.823529411764706,1.35294117647059,0.392952623996688,0,0.587867532097256,0.587867532097256,0,0.985184366143778,0.831370236770739,1.08803654782905,0.970142500145332,1.13111085429585,0.861769724940212,17,17,4.17647058823529,4.56579456235038,0.470198675496689,"Auditory",1.94117647058824,2.33199546868822,0.192307692307692,"Hand_arm",4.17647058823529,4.76018291030916,0.27843137254902,"Auditory"
"homesickness","乡愁",1.52173913043478,0.304347826086957,1.73913043478261,2.78260869565217,1.26086956521739,3.08695652173913,1.65217391304348,2.17391304347826,3.08695652173913,1.30434782608696,3.17391304347826,0.510753918455249,0.470471968896965,0.44897775854488,0.671262158456362,0.751809411556112,0.596432079365658,0.647280721183483,0.834057656228299,0.848155403763253,0.558795995356872,0.716822148161496,23,23,3.08695652173913,3.95317793258589,0.260162601626016,"Visual",3.17391304347826,4.27981112531045,0.16412213740458,"Torso",3.17391304347826,5.19460879364563,0.12992125984252,"Torso"
"debate","争论",1.78260869565217,0,0.521739130434783,0.782608695652174,0,1.34782608695652,0.391304347826087,2.39130434782609,1.73913043478261,0.608695652173913,1.60869565217391,0.518434859512082,0,0.510753918455249,0.735868178605778,0,0.572768051751073,0.499010879347845,0.656376446504361,0.751809411556112,0.782718481539738,0.782718481539738,23,23,1.78260869565217,2.05942089729603,0.401960784313725,"Auditory",2.39130434782609,2.85956581364985,0.296774193548387,"Hand_arm",2.39130434782609,3.1786814951429,0.214007782101167,"Hand_arm"
"thing","事情",0.888888888888889,0,1.5,1.44444444444444,0,2.61111111111111,1.66666666666667,3.5,2.11111111111111,1.27777777777778,2.44444444444444,0.582983088130138,0,0.618346942400842,0.615698763455199,0,0.777544316035229,0.76696498884737,0.707106781186548,0.676399541594523,0.669113158068689,0.615698763455199,18,18,2.61111111111111,2.91985374301665,0.405172413793103,"Visual",3.5,4.19087146407318,0.202020202020202,"Hand_arm",3.5,4.61825315369015,0.200636942675159,"Hand_arm"
"deeds","事迹",0.357142857142857,0,0.928571428571429,1.42857142857143,0,2,1.07142857142857,3,2.21428571428571,0.928571428571428,2.07142857142857,0.633323693776651,0,0.474631146549323,0.513552591013095,0,0.784464540552736,0.730045911547372,0.960768922830523,0.892582375303981,0.828741930164745,0.91687476825319,14,14,2,2.2741698412985,0.424242424242424,"Visual",3,3.65370887664792,0.223076923076923,"Hand_arm",3,3.92651604407782,0.214285714285714,"Hand_arm"
"sea of ​​clouds","云海",0.761904761904762,0,0.904761904761905,0.666666666666667,0.428571428571429,4,0.857142857142857,1.47619047619048,1.80952380952381,0.238095238095238,2.80952380952381,0.624880941040924,0,0.768424485864545,0.577350269189626,0.870139561876632,0,0.853563956930837,0.980767435177556,0.928388260322567,0.436435780471985,0.928388260322567,21,21,4,4.03219704039554,0.591549295774648,"Visual",2.80952380952381,3.17354104679966,0.357615894039735,"Torso",4,4.60289380415987,0.286689419795222,"Visual"
"ghost","亡灵",1.08333333333333,0,0.541666666666667,1,0,2.16666666666667,0.833333333333333,1.83333333333333,2.33333333333333,0.958333333333333,1.875,0.775531608229039,0,0.508977377704052,0.834057656228299,0,0.916831342257085,0.701964118163034,1.23944821757828,0.868114732282431,0.806450444131925,0.797414299606792,24,24,2.16666666666667,2.32706740767007,0.452173913043478,"Visual",2.33333333333333,2.99689966058055,0.191489361702128,"Head",2.33333333333333,3.40615988720013,0.184818481848185,"Head"
