"Word","Word_Italian","Spa_Word","Eng_Trad_Rec","Spa_Trad_Rec","WordClass","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Head.mean","Foot_leg.mean","Hand_arm.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Head.SD","Foot_leg.SD","Hand_arm.SD","Mouth.SD","Torso.SD","M_Val","SD_Val","M_Aro","SD_Aro","M_Dom","SD_Dom","N_Part","Max_strength.action","Exclusivity.action","Dominant.action","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor"
"blunder","abbaglio","desliz","dazzle","deslumbrante","n",0.523809523809524,0,0.19047619047619,1.9047619047619,0.142857142857143,4.61904761904762,3.42857142857143,0,0.142857142857143,0.3,0.05,1.07791686224159,0,0.402373908081478,1.78619041271534,0.358568582800318,0.669043382464133,1.6604646509766,0,0.358568582800318,0.801314709186032,0.223606797749979,3.93939393939394,1.76669525419981,5.66666666666667,1.5545631755148,4.3030303030303,1.62951005836203,21,3.42857142857143,0.87431693989071,"head",4.61904761904762,0.625806451612903,"vision",3.42857142857143,0.408679165788919,"vision"
"abundance","abbondanza","abundancia",NA,NA,"n",0.857142857142857,1.04761904761905,1.66666666666667,2.52380952380952,0.5,3.28571428571429,2.19047619047619,0,0.904761904761905,0.904761904761905,0.571428571428571,1.42427926635594,1.46547570693582,1.93218356615859,1.56904581255767,0.945905302926917,1.95301964001536,1.80607440652504,0,1.37494588638106,1.13599128098599,1.20712172424443,6.81818181818182,2.08348484297561,5.09090909090909,1.99003197781525,5.42424242424242,1.93698062442399,21,2.19047619047619,0.479166666666667,"head",3.28571428571429,0.292993630573248,"vision",2.19047619047619,0.227347611202636,"vision"
"hug","abbraccio","abrazo",NA,NA,"n",1,0.05,4.85,3.19047619047619,1.85714285714286,3.04761904761905,2.61904761904762,0.714285714285714,4.9,0.476190476190476,3.38095238095238,1.37840487520902,0.223606797749979,0.366347548532523,1.80607440652504,1.98206241793023,1.9098740920854,1.80211515936664,1.10194633003868,0.307793505625546,0.87287156094397,2.01186954040739,7.6969696969697,1.79382357836634,5.6969696969697,2.74413976143764,5.72727272727273,2.16899641644366,21,4.9,0.36589208349744,"hand/arm",4.85,0.311563169164882,"touch",4.9,0.18592552026287,"hand/arm"
"fir","abete","abeto",NA,NA,"n",1,0.285714285714286,3.42857142857143,0.714285714285714,2.95238095238095,4.19047619047619,1.61904761904762,0.761904761904762,2.42857142857143,0.714285714285714,0.476190476190476,1.51657508881031,0.643650304346789,1.88603893309307,1.00711752754369,1.49920613913466,1.40068010691405,1.85677652064513,1.26114082896249,1.83225076262581,1.18923745075814,0.87287156094397,6.17142857142857,1.2944613752835,4.51428571428571,1.90002211398011,5.34285714285714,1.43368831510686,21,2.42857142857143,0.325396825396825,"hand/arm",4.19047619047619,0.322344322344322,"vision",2.42857142857143,0.21025641025641,"vision"
"inhabitant","abitante","habitante",NA,NA,"n",1.28571428571429,0.476190476190476,0.857142857142857,1.23809523809524,0.571428571428571,2.80952380952381,1.33333333333333,0.761904761904762,0.952380952380952,0.761904761904762,0.45,1.58564993434418,0.87287156094397,1.19522860933439,1.51343192462568,0.870139561876632,1.74982992370823,1.52752523165195,1.04425867986634,1.35927151357595,1.22085060121056,0.68633274115326,5.66666666666667,1.42886901662352,4.96969696969697,2.11371782182557,5.66666666666667,1.40682858467784,21,1.33333333333333,0.207378423700391,"head",2.80952380952381,0.310526315789474,"vision",1.33333333333333,0.205218471733278,"vision"
"dwelling","abitazione","vivienda",NA,NA,"n",2.57142857142857,0.4,3.28571428571429,2.61904761904762,3.42857142857143,4.6,2.57142857142857,2.19047619047619,2.19047619047619,1.0952380952381,2.47619047619048,1.74846871780506,0.940324691963255,1.70712791386167,2.01186954040739,1.7768350675127,0.598243041616119,1.91236577493503,1.88730091980711,1.91361039971692,1.51343192462568,2.1591444513753,7.14285714285714,1.15263672879682,6.28571428571429,2.0528725518857,6.14285714285714,1.74027912375326,21,2.57142857142857,0.14027149321267,"head",4.6,0.271806415306697,"vision",2.57142857142857,0.153125,"vision"
"dress","abito","traje",NA,NA,"n",0.4,0.05,4.3,1.23809523809524,0.714285714285714,4.8,1.76190476190476,2.19047619047619,2.76190476190476,0.3,4.19047619047619,0.598243041616119,0.223606797749979,0.732695097065046,1.51343192462568,1.00711752754369,0.523148363780596,1.84132457499382,1.91361039971692,1.92106121466136,0.732695097065047,0.87287156094397,7.27272727272727,1.64455022864778,5.57575757575758,2.25042083606465,6.03030303030303,1.7044949487467,21,4.19047619047619,0.34721631959201,"torso",4.8,0.42397476340694,"vision",4.19047619047619,0.209185278389431,"vision"
"habits","abitudini","hábitos","habit",NA,"n",1,0.85,0.526315789473684,2,0.473684210526316,1.4,2.36842105263158,1.3,1.4,1.1,0.9,1.33771210811988,1.18210338847862,0.696692268479466,2,0.696692268479466,1.39170474787692,1.97794860948266,1.45457535854428,1.53554379189983,1.5183093090325,1.4473205733718,4.90909090909091,2.14131437970403,4.87878787878788,2.02727612447059,4.96969696969697,1.68606139576916,20,2.36842105263158,0.207743857036485,"head",1.4,0.211214483278853,"interoception",2.36842105263158,0.14226437462952,"head"
"abortion","aborto","aborto",NA,NA,"n",0.722222222222222,0,0.888888888888889,4,0.117647058823529,2.05555555555556,2.66666666666667,0.294117647058824,0.0588235294117647,0.352941176470588,2.83333333333333,1.31978409800978,0,1.77859458359978,1.68033610083361,0.485071250072666,1.86207418258186,2.19625349442288,0.985184366143778,0.242535625036333,0.861769724940212,2.12132034355964,2.06060606060606,1.61901578782053,6.57575757575758,2.00047342881477,4.27272727272727,2.28134728933265,18,2.83333333333333,0.447077409162717,"torso",2.05555555555556,0.386555380103767,"interoception",2.83333333333333,0.285914505956552,"interoception"
"abuse","abuso","abuso",NA,NA,"n",1.85714285714286,0.1,1.33333333333333,3.57142857142857,0.333333333333333,2.47619047619048,2.61904761904762,1.14285714285714,1.38095238095238,1.47619047619048,1.0952380952381,2.0563490531939,0.307793505625546,1.74164673034842,1.7768350675127,0.658280588604383,2.08851735973268,1.93587681623058,1.49284005458436,1.5644868320376,1.77817455889594,1.33808676492827,1.73529411764706,1.08177249412955,6.11764705882353,2.15694376772143,4.44117647058824,1.76139023037827,21,2.61904761904762,0.197530864197531,"head",2.47619047619048,0.30229746070133,"interoception",2.61904761904762,0.199671322925226,"interoception"
