"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","N_known.perceptual","List_N.perceptual","Percent_known.perceptual","N_known.action","List_N.action","Percent_known.action","Mean_age.perceptual","Mean_age.action","List#.perceptual","List#.action"
"abortion",0.823529412,0.058823529,0.705882353,2.470588235,0.117647059,2.235294118,1.142857143,1.333333333,1.761904762,0.476190476,2.619047619,1.286239389,0.242535625,1.531531337,1.972233729,0.332105582,1.562426469,1.681835732,1.798147195,1.841324575,0.980767435,2.155833724,2.470588235,3.005943694,0.376146789,"Interoceptive",2.619047619,3.014950545,0.292207792,"Torso",2.619047619,3.792934183,0.18626452,"Torso",17,17,1,21,21,1,35.05882353,39.71428571,"PN_Sample_336.csv","MN_sample_336.csv"
"about",1.4375,0,0.125,0.4375,0,1.1875,0.117647059,0.117647059,1.941176471,0.294117647,0.058823529,1.965324401,0,0.5,1.093541647,0,1.905037182,0.48507125,0.48507125,1.983386883,0.771743633,0.242535625,1.4375,1.678709431,0.450980392,"Auditory",1.941176471,1.943729872,0.744186047,"Head",1.941176471,2.294143332,0.339549839,"Head",16,16,1,17,17,1,33.1875,38.82352941,"PN_Sample_785.csv","MN_sample_785.csv"
"abundance",0.823529412,0.647058824,1.882352941,0.411764706,0.411764706,4.352941176,0.789473684,1.421052632,3.578947368,1.105263158,0.789473684,1.185078801,1.271867548,1.833110503,1.064120736,0.618346942,0.931475742,1.548438187,1.952656011,1.835325871,1.882514183,1.548438187,4.352941176,4.483373455,0.462068966,"Visual",3.578947368,3.709549635,0.363013699,"Head",4.352941176,5.206855866,0.243078098,"Visual",17,18,0.944444444444444,19,20,0.95,33.64705882,39.52631579,"PN_Sample_486.csv","MN_sample_486.csv"
"abuse",3,0.1,2.7,2.65,0.05,4.2,2.052631579,2.789473684,3.052631579,2.736842105,1.842105263,1.835325871,0.307793506,1.838191331,1.663066287,0.223606798,0.894427191,1.778691286,1.843274483,1.840099158,1.694504361,1.863782233,4.2,5.184839348,0.326771654,"Visual",3.052631579,4.406301535,0.097046414,"Head",4.2,6.08159162,0.164854694,"Visual",20,20,1,19,19,1,36.1,36.57894737,"PN_Sample_265.csv","MN_sample_265.csv"
"abyss",1.533333333,0.066666667,0.666666667,2.066666667,0.066666667,3.866666667,0.411764706,0.588235294,2.529411765,0.764705882,0.764705882,1.959105724,0.25819889,1.496026483,1.869555588,0.25819889,1.641718032,0.939336437,1.121317502,2.211267935,1.30045241,1.562426469,3.866666667,4.131852863,0.459677419,"Visual",2.529411765,2.588842833,0.418604651,"Head",3.866666667,4.446115435,0.285167746,"Visual",15,17,0.88235294117647,17,18,0.944444444444444,39.4,37.35294118,"PN_Sample_082.csv","MN_sample_082.csv"
"accent",4.052631579,0.473684211,0.210526316,0.210526316,0.263157895,0.736842105,0.55,0.7,2.65,3.25,0.4,1.649029486,1.073334423,0.713282504,0.713282504,0.805681579,1.484815936,1.538112309,1.625455402,2.058998223,2.124419425,1.187655807,4.052631579,4.063626922,0.646017699,"Auditory",3.25,3.768322185,0.377483444,"Mouth",4.052631579,4.940823122,0.284655878,"Auditory",19,19,1,20,20,1,36.47368421,36.5,"PN_Sample_252.csv","MN_sample_252.csv"
"acceptance",2.941176471,0.235294118,1.117647059,2.882352941,0.352941176,2.882352941,0.473684211,1.157894737,2.842105263,1.473684211,0.631578947,1.712840778,0.752446989,1.653872461,1.653872461,1.05718828,1.866894244,1.306752593,1.572795031,1.863782233,1.982378511,1.570934835,2.941176471,4.213199663,0.259887006,"Auditory",2.842105263,3.039058793,0.36,"Head",2.941176471,4.68537936,0.15925656,"Auditory",17,17,1,19,19,1,36.35294118,36.21052632,"PN_Sample_190.csv","MN_sample_190.csv"
"accident",3.3125,0,1.0625,1.3125,0.3125,4.375,2.333333333,2.476190476,2.80952381,2.380952381,2.285714286,1.701714821,0,1.611159003,1.815443013,0.793200269,1.024695077,2.12916259,2.08851736,2.182178902,2.224324403,2.239260082,4.375,4.980969325,0.421686747,"Visual",2.80952381,4.226559387,0.042635659,"Head",4.375,5.839060126,0.193065406,"Visual",16,16,1,21,21,1,44.8125,40.71428571,"PN_Sample_622.csv","MN_sample_622.csv"
"accompaniment",2.461538462,0.230769231,0.615384615,0.923076923,0.230769231,2.846153846,0.578947368,0.736842105,2.157894737,1.526315789,0.578947368,2.183856856,0.832050294,1.043907845,1.800996875,0.832050294,1.951330907,1.261207071,1.446916463,2.242596657,2.010207868,1.261207071,2.846153846,3.391633562,0.357894737,"Visual",2.157894737,2.432440629,0.283018868,"Head",2.846153846,3.765870535,0.202953189,"Visual",13,16,0.8125,19,20,0.95,36.25,34.84210526,"PN_Sample_721.csv","MN_sample_721.csv"
"ace",0.4375,0,0,0.375,0,2.0625,0.4,1.6,1.35,0.6,0.5,1.263262971,0,0,1.024695077,0,2.205107707,0.88257995,1.788854382,1.843195166,1.273205652,1,2.0625,2.073139087,0.717391304,"Visual",1.6,1.909406264,0.269662921,"Hand_arm",2.0625,2.513079782,0.281569966,"Visual",16,18,0.888888888888889,20,21,0.952380952380952,38.0625,33.35,"PN_Sample_175.csv","MN_sample_175.csv"
